agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,numero_alumnos
2013,1203,ESCUELA GABRIELA MISTRAL,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83699393,-70.58207679,293
2013,1204,ESCUELA BASICA GRAL.JOSE MIGUEL CARRERA,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.82701385,-70.60512312,211
2013,1206,C.E.I.A  DR. OSVALDO ROJAS GONZALEZ,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,0.00000000,0.00000000,469
2013,1208,ESCUELA BASICA RIO BLANCO,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.90968398,-70.30435766,125
2013,1210,ESCUELA EL SAUCE,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83530024,-70.54803093,282
2013,1211,ESCUELA IGNACIO CARRERA PINTO,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.84553861,-70.59529560,301
2013,1212,ESCUELA JUAN GOMEZ MILLAS,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.82503772,-70.65913841,64
2013,1213,LICEO PARTICULAR MIXTO LOS ANDES,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.82576872,-70.61147794,2140
2013,1214,COLEGIO MARIA AUXILIADORA,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.83209150,-70.60161435,720
2013,1215,ESCUELA PARTICULAR SAN JOSE,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.82919439,-70.59824006,782
2013,1216,ESCUELA PARTICULAR HUMBERTO CASARINO,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.84259599,-70.60112992,423
2013,1217,LICEO SANTA CLARA,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.84055785,-70.59899927,990
2013,1218,ESCUELA PARTICULAR JEAN PIAGET,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.85181351,-70.58839836,463
2013,1220,ESCUELA PARTICULAR METODISTA E.DEL NINO,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.83130124,-70.59781845,343
2013,1221,COLEGIO  ALCAZAR,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.83553411,-70.60182574,333
2013,1225,INSTITUTO CHACABUCO,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Pagado,Urbano,Funcionando,-32.83038276,-70.59487493,1047
2013,1226,COLEGIO MARIA MONTESSORI ,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.83163394,-70.60915890,200
2013,1229,COLEGIO PARTICULAR BREGA COLLEGE,LOS ANDES,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Pagado,Urbano,Funcionando,-32.82849372,-70.60576933,230
